id,utcDate,status,stage,group,lastUpdated,referees,competition.name,season.currentMatchday,homeTeam.id,homeTeam.name,homeTeam.shortName,homeTeam.tla,awayTeam.id,awayTeam.name,awayTeam.shortName,awayTeam.tla,score.winner,score.duration,score.fullTime.home,score.fullTime.away,score.halfTime.home,score.halfTime.away
537336,2026-06-18T22:00:00Z,FINISHED,GROUP_STAGE,GROUP_B,2026-06-19T03:25:00Z,"[{'id': 58065, 'name': 'Cristián Garay', 'type': 'REFEREE', 'nationality': 'Chile'}]",FIFA World Cup,1,828.0,Canada,Canada,CAN,8030.0,Qatar,Qatar,QAT,HOME_TEAM,REGULAR,6.0,0.0,3.0,0.0
537330,2026-06-19T01:00:00Z,FINISHED,GROUP_STAGE,GROUP_A,2026-06-19T03:25:00Z,"[{'id': 260120, 'name': 'Gustavo Tejera', 'type': 'REFEREE', 'nationality': 'Uruguay'}]",FIFA World Cup,1,769.0,Mexico,Mexico,MEX,772.0,South Korea,Korea Republic,KOR,HOME_TEAM,REGULAR,1.0,0.0,0.0,0.0
537348,2026-06-19T19:00:00Z,FINISHED,GROUP_STAGE,GROUP_D,2026-06-20T08:25:00Z,"[{'id': 43878, 'name': 'Felix Zwayer', 'type': 'REFEREE', 'nationality': 'Germany'}]",FIFA World Cup,1,771.0,United States,USA,USA,779.0,Australia,Australia,AUS,HOME_TEAM,REGULAR,2.0,0.0,2.0,0.0
537342,2026-06-19T22:00:00Z,FINISHED,GROUP_STAGE,GROUP_C,2026-06-20T08:25:00Z,"[{'id': 236055, 'name': ""Il'giz Tantashev"", 'type': 'REFEREE', 'nationality': 'Uzbekistan'}]",FIFA World Cup,1,8873.0,Scotland,Scotland,SCO,815.0,Morocco,Morocco,MAR,AWAY_TEAM,REGULAR,0.0,1.0,0.0,1.0
537341,2026-06-20T00:30:00Z,FINISHED,GROUP_STAGE,GROUP_C,2026-06-20T08:25:00Z,"[{'id': 206208, 'name': 'Alejandro Hernández Hernández', 'type': 'REFEREE', 'nationality': 'Spain'}]",FIFA World Cup,1,764.0,Brazil,Brazil,BRA,836.0,Haiti,Haiti,HAI,HOME_TEAM,REGULAR,3.0,0.0,3.0,0.0
537347,2026-06-20T03:00:00Z,FINISHED,GROUP_STAGE,GROUP_D,2026-06-20T08:25:01Z,"[{'id': 190010, 'name': 'Ivan Barton', 'type': 'REFEREE', 'nationality': None}]",FIFA World Cup,1,803.0,Turkey,Turkey,TUR,761.0,Paraguay,Paraguay,PAR,AWAY_TEAM,REGULAR,0.0,1.0,0.0,1.0
537359,2026-06-20T17:00:00Z,TIMED,GROUP_STAGE,GROUP_F,2026-06-13T15:20:17Z,"[{'id': 11605, 'name': 'Michael Oliver', 'type': 'REFEREE', 'nationality': 'England'}]",FIFA World Cup,1,8601.0,Netherlands,Netherlands,NED,792.0,Sweden,Sweden,SWE,,REGULAR,,,,
537353,2026-06-20T20:00:00Z,TIMED,GROUP_STAGE,GROUP_E,2026-06-13T15:20:17Z,[],FIFA World Cup,1,759.0,Germany,Germany,GER,1935.0,Ivory Coast,Ivory Coast,CIV,,REGULAR,,,,
537354,2026-06-21T00:00:00Z,TIMED,GROUP_STAGE,GROUP_E,2026-06-13T15:20:17Z,[],FIFA World Cup,1,791.0,Ecuador,Ecuador,ECU,9460.0,Curaçao,Curaçao,CUW,,REGULAR,,,,
537360,2026-06-21T04:00:00Z,TIMED,GROUP_STAGE,GROUP_F,2026-06-13T15:20:17Z,[],FIFA World Cup,1,802.0,Tunisia,Tunisia,TUN,766.0,Japan,Japan,JPN,,REGULAR,,,,
537371,2026-06-21T16:00:00Z,TIMED,GROUP_STAGE,GROUP_H,2026-06-13T15:20:17Z,[],FIFA World Cup,1,760.0,Spain,Spain,ESP,801.0,Saudi Arabia,Saudi Arabia,KSA,,REGULAR,,,,
537365,2026-06-21T19:00:00Z,TIMED,GROUP_STAGE,GROUP_G,2026-06-13T15:20:17Z,[],FIFA World Cup,1,805.0,Belgium,Belgium,BEL,840.0,Iran,Iran,IRN,,REGULAR,,,,
537372,2026-06-21T22:00:00Z,TIMED,GROUP_STAGE,GROUP_H,2026-06-13T15:20:17Z,[],FIFA World Cup,1,758.0,Uruguay,Uruguay,URY,1930.0,Cape Verde Islands,Cape Verde,CPV,,REGULAR,,,,
537366,2026-06-22T01:00:00Z,TIMED,GROUP_STAGE,GROUP_G,2026-06-13T15:20:17Z,[],FIFA World Cup,1,783.0,New Zealand,New Zealand,NZL,825.0,Egypt,Egypt,EGY,,REGULAR,,,,
537399,2026-06-22T17:00:00Z,TIMED,GROUP_STAGE,GROUP_J,2026-06-13T15:20:17Z,[],FIFA World Cup,1,762.0,Argentina,Argentina,ARG,816.0,Austria,Austria,AUT,,REGULAR,,,,
537393,2026-06-22T21:00:00Z,TIMED,GROUP_STAGE,GROUP_I,2026-06-13T15:20:17Z,[],FIFA World Cup,1,773.0,France,France,FRA,8062.0,Iraq,Iraq,IRQ,,REGULAR,,,,
537394,2026-06-23T00:00:00Z,TIMED,GROUP_STAGE,GROUP_I,2026-06-13T15:20:17Z,[],FIFA World Cup,1,8872.0,Norway,Norway,NOR,804.0,Senegal,Senegal,SEN,,REGULAR,,,,
537400,2026-06-23T03:00:00Z,TIMED,GROUP_STAGE,GROUP_J,2026-06-13T15:20:17Z,[],FIFA World Cup,1,8049.0,Jordan,Jordan,JOR,778.0,Algeria,Algeria,ALG,,REGULAR,,,,
537405,2026-06-23T17:00:00Z,TIMED,GROUP_STAGE,GROUP_K,2026-06-13T15:20:17Z,[],FIFA World Cup,1,765.0,Portugal,Portugal,POR,8070.0,Uzbekistan,Uzbekistan,UZB,,REGULAR,,,,
537411,2026-06-23T20:00:00Z,TIMED,GROUP_STAGE,GROUP_L,2026-06-13T15:20:17Z,[],FIFA World Cup,1,770.0,England,England,ENG,763.0,Ghana,Ghana,GHA,,REGULAR,,,,
537412,2026-06-23T23:00:00Z,TIMED,GROUP_STAGE,GROUP_L,2026-06-13T15:20:17Z,[],FIFA World Cup,1,1836.0,Panama,Panama,PAN,799.0,Croatia,Croatia,CRO,,REGULAR,,,,
537406,2026-06-24T02:00:00Z,TIMED,GROUP_STAGE,GROUP_K,2026-06-13T15:20:17Z,[],FIFA World Cup,1,818.0,Colombia,Colombia,COL,1934.0,Congo DR,Congo DR,COD,,REGULAR,,,,
537337,2026-06-24T19:00:00Z,TIMED,GROUP_STAGE,GROUP_B,2026-06-13T15:20:17Z,[],FIFA World Cup,1,788.0,Switzerland,Switzerland,SUI,828.0,Canada,Canada,CAN,,REGULAR,,,,
537338,2026-06-24T19:00:00Z,TIMED,GROUP_STAGE,GROUP_B,2026-06-13T15:20:17Z,[],FIFA World Cup,1,1060.0,Bosnia-Herzegovina,Bosnia-H.,BIH,8030.0,Qatar,Qatar,QAT,,REGULAR,,,,
537344,2026-06-24T22:00:00Z,TIMED,GROUP_STAGE,GROUP_C,2026-06-13T15:20:17Z,[],FIFA World Cup,1,815.0,Morocco,Morocco,MAR,836.0,Haiti,Haiti,HAI,,REGULAR,,,,
537343,2026-06-24T22:00:00Z,TIMED,GROUP_STAGE,GROUP_C,2026-06-13T15:20:17Z,[],FIFA World Cup,1,8873.0,Scotland,Scotland,SCO,764.0,Brazil,Brazil,BRA,,REGULAR,,,,
537331,2026-06-25T01:00:00Z,TIMED,GROUP_STAGE,GROUP_A,2026-06-13T15:20:17Z,[],FIFA World Cup,1,798.0,Czechia,Czechia,CZE,769.0,Mexico,Mexico,MEX,,REGULAR,,,,
537332,2026-06-25T01:00:00Z,TIMED,GROUP_STAGE,GROUP_A,2026-06-13T15:20:17Z,[],FIFA World Cup,1,774.0,South Africa,South Africa,RSA,772.0,South Korea,Korea Republic,KOR,,REGULAR,,,,
537355,2026-06-25T20:00:00Z,TIMED,GROUP_STAGE,GROUP_E,2026-06-13T15:20:17Z,[],FIFA World Cup,1,791.0,Ecuador,Ecuador,ECU,759.0,Germany,Germany,GER,,REGULAR,,,,
537356,2026-06-25T20:00:00Z,TIMED,GROUP_STAGE,GROUP_E,2026-06-13T15:20:17Z,[],FIFA World Cup,1,9460.0,Curaçao,Curaçao,CUW,1935.0,Ivory Coast,Ivory Coast,CIV,,REGULAR,,,,
537361,2026-06-25T23:00:00Z,TIMED,GROUP_STAGE,GROUP_F,2026-06-13T15:20:17Z,[],FIFA World Cup,1,802.0,Tunisia,Tunisia,TUN,8601.0,Netherlands,Netherlands,NED,,REGULAR,,,,
537362,2026-06-25T23:00:00Z,TIMED,GROUP_STAGE,GROUP_F,2026-06-13T15:20:17Z,[],FIFA World Cup,1,766.0,Japan,Japan,JPN,792.0,Sweden,Sweden,SWE,,REGULAR,,,,
537349,2026-06-26T02:00:00Z,TIMED,GROUP_STAGE,GROUP_D,2026-06-13T15:20:17Z,[],FIFA World Cup,1,803.0,Turkey,Turkey,TUR,771.0,United States,USA,USA,,REGULAR,,,,
