awayTeam.id,awayTeam.name,awayTeam.tla,group,homeTeam.id,homeTeam.name,homeTeam.tla,referees,score.duration,score.extraTime.away,score.extraTime.home,score.fullTime.away,score.fullTime.home,score.halfTime.away,score.halfTime.home,score.penalties.away,score.penalties.home,score.regularTime.away,score.regularTime.home,score.winner,stage,status,utcDate
792,Sweden,SWE,GROUP_F,8601,Netherlands,NED,"[{""id"": 11605, ""name"": ""Michael Oliver"", ""type"": ""REFEREE"", ""nationality"": ""England""}]",REGULAR,,,1,5,0,2,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-20T17:00:00Z
1935,Ivory Coast,CIV,GROUP_E,759,Germany,GER,"[{""id"": 116383, ""name"": ""Juan Benítez"", ""type"": ""REFEREE"", ""nationality"": ""Paraguay""}]",REGULAR,,,1,2,1,0,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-20T20:00:00Z
9460,Curaçao,CUW,GROUP_E,791,Ecuador,ECU,"[{""id"": 176659, ""name"": ""Ning Ma"", ""type"": ""REFEREE"", ""nationality"": ""China PR""}]",REGULAR,,,0,0,0,0,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-21T00:00:00Z
766,Japan,JPN,GROUP_F,802,Tunisia,TUN,"[{""id"": 37278, ""name"": ""István Kovács"", ""type"": ""REFEREE"", ""nationality"": ""Romania""}]",REGULAR,,,4,0,2,0,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-21T04:00:00Z
801,Saudi Arabia,KSA,GROUP_H,760,Spain,ESP,"[{""id"": 11260, ""name"": ""Raphael Claus"", ""type"": ""REFEREE"", ""nationality"": ""Brazil""}]",REGULAR,,,0,4,0,3,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-21T16:00:00Z
840,Iran,IRN,GROUP_G,805,Belgium,BEL,"[{""id"": 57288, ""name"": ""Darío Herrera"", ""type"": ""REFEREE"", ""nationality"": ""Argentina""}]",REGULAR,,,0,0,0,0,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-21T19:00:00Z
1930,Cape Verde Islands,CPV,GROUP_H,758,Uruguay,URU,"[{""id"": 215543, ""name"": ""Espen Eskås"", ""type"": ""REFEREE"", ""nationality"": ""Norway""}]",REGULAR,,,2,2,1,2,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-21T22:00:00Z
825,Egypt,EGY,GROUP_G,783,New Zealand,NZL,"[{""id"": 129569, ""name"": ""Omar Mohamed Al Ali"", ""type"": ""REFEREE"", ""nationality"": ""United Arab Emirates""}]",REGULAR,,,3,1,0,1,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-22T01:00:00Z
816,Austria,AUT,GROUP_J,762,Argentina,ARG,"[{""id"": 276653, ""name"": ""Amin Omar"", ""type"": ""REFEREE"", ""nationality"": ""Egypt""}]",REGULAR,,,0,2,0,1,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-22T17:00:00Z
8062,Iraq,IRQ,GROUP_I,773,France,FRA,"[{""id"": 77052, ""name"": ""Drew Fischer"", ""type"": ""REFEREE"", ""nationality"": ""Canada""}]",REGULAR,,,0,3,0,1,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-22T21:00:00Z
804,Senegal,SEN,GROUP_I,8872,Norway,NOR,"[{""id"": 11412, ""name"": ""Wilton Sampaio"", ""type"": ""REFEREE"", ""nationality"": ""Brazil""}]",REGULAR,,,2,3,0,1,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-23T00:00:00Z
778,Algeria,ALG,GROUP_J,8049,Jordan,JOR,"[{""id"": 9351, ""name"": ""Slavko Vinčič"", ""type"": ""REFEREE"", ""nationality"": ""Slovenia""}]",REGULAR,,,2,1,0,1,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-23T03:00:00Z
8070,Uzbekistan,UZB,GROUP_K,765,Portugal,POR,"[{""id"": 289426, ""name"": ""Jalal Jayed"", ""type"": ""REFEREE"", ""nationality"": ""Morocco""}]",REGULAR,,,0,5,0,3,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-23T17:00:00Z
763,Ghana,GHA,GROUP_L,770,England,ENG,"[{""id"": 190002, ""name"": ""Said Martinez"", ""type"": ""REFEREE"", ""nationality"": ""Honduras""}]",REGULAR,,,0,0,0,0,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-23T20:00:00Z
799,Croatia,CRO,GROUP_L,1836,Panama,PAN,[],REGULAR,,,1,0,0,0,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-23T23:00:00Z
1934,Congo DR,COD,GROUP_K,818,Colombia,COL,[],REGULAR,,,0,1,0,0,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-24T02:00:00Z
828,Canada,CAN,GROUP_B,788,Switzerland,SUI,"[{""id"": 18754, ""name"": ""Ramon Abatti Abel"", ""type"": ""REFEREE"", ""nationality"": ""Brazil""}]",REGULAR,,,1,2,0,0,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-24T19:00:00Z
8030,Qatar,QAT,GROUP_B,1060,Bosnia-Herzegovina,BIH,"[{""id"": 28805, ""name"": ""Jesús Valenzuela"", ""type"": ""REFEREE"", ""nationality"": ""Venezuela""}]",REGULAR,,,1,3,1,2,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-24T19:00:00Z
836,Haiti,HAI,GROUP_C,815,Morocco,MAR,"[{""id"": 43899, ""name"": ""Danny Makkelie"", ""type"": ""REFEREE"", ""nationality"": ""Netherlands""}]",REGULAR,,,2,4,2,2,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-24T22:00:00Z
764,Brazil,BRA,GROUP_C,8873,Scotland,SCO,"[{""id"": 56007, ""name"": ""César Ramos"", ""type"": ""REFEREE"", ""nationality"": ""Mexico""}]",REGULAR,,,3,0,2,0,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-24T22:00:00Z
769,Mexico,MEX,GROUP_A,798,Czechia,CZE,"[{""id"": 57435, ""name"": ""Yael Falcón"", ""type"": ""REFEREE"", ""nationality"": ""Argentina""}]",REGULAR,,,3,0,0,0,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-25T01:00:00Z
772,South Korea,KOR,GROUP_A,774,South Africa,RSA,"[{""id"": 57301, ""name"": ""Facundo Tello"", ""type"": ""REFEREE"", ""nationality"": ""Argentina""}]",REGULAR,,,0,1,0,0,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-25T01:00:00Z
759,Germany,GER,GROUP_E,791,Ecuador,ECU,"[{""id"": 212450, ""name"": ""Tori Penso"", ""type"": ""REFEREE"", ""nationality"": ""USA""}]",REGULAR,,,1,2,1,1,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-25T20:00:00Z
1935,Ivory Coast,CIV,GROUP_E,9460,Curaçao,CUW,"[{""id"": 30960, ""name"": ""Glenn Nyberg"", ""type"": ""REFEREE"", ""nationality"": ""Sweden""}]",REGULAR,,,2,0,1,0,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-25T20:00:00Z
8601,Netherlands,NED,GROUP_F,802,Tunisia,TUN,"[{""id"": 212546, ""name"": ""Katia García"", ""type"": ""REFEREE"", ""nationality"": ""Mexico""}]",REGULAR,,,3,1,2,0,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-25T23:00:00Z
792,Sweden,SWE,GROUP_F,766,Japan,JPN,"[{""id"": 190010, ""name"": ""Ivan Barton"", ""type"": ""REFEREE"", ""nationality"": null}]",REGULAR,,,1,1,0,0,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-25T23:00:00Z
771,United States,USA,GROUP_D,803,Turkey,TUR,"[{""id"": 190017, ""name"": ""Mustapha Ghorbal"", ""type"": ""REFEREE"", ""nationality"": null}]",REGULAR,,,2,3,1,2,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-26T02:00:00Z
779,Australia,AUS,GROUP_D,761,Paraguay,PAR,"[{""id"": 9374, ""name"": ""Clément Turpin"", ""type"": ""REFEREE"", ""nationality"": ""France""}]",REGULAR,,,0,0,0,0,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-26T02:00:00Z
773,France,FRA,GROUP_I,8872,Norway,NOR,"[{""id"": 11605, ""name"": ""Michael Oliver"", ""type"": ""REFEREE"", ""nationality"": ""England""}]",REGULAR,,,4,1,3,1,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-26T19:00:00Z
8062,Iraq,IRQ,GROUP_I,804,Senegal,SEN,"[{""id"": 11580, ""name"": ""Anthony Taylor"", ""type"": ""REFEREE"", ""nationality"": ""England""}]",REGULAR,,,0,5,0,1,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-26T19:00:00Z
760,Spain,ESP,GROUP_H,758,Uruguay,URU,"[{""id"": 76608, ""name"": ""Ismail Elfath"", ""type"": ""REFEREE"", ""nationality"": ""United States""}]",REGULAR,,,1,0,1,0,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-27T00:00:00Z
801,Saudi Arabia,KSA,GROUP_H,1930,Cape Verde Islands,CPV,"[{""id"": 43918, ""name"": ""François Letexier"", ""type"": ""REFEREE"", ""nationality"": ""France""}]",REGULAR,,,0,0,0,0,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-27T00:00:00Z
805,Belgium,BEL,GROUP_G,783,New Zealand,NZL,"[{""id"": 129250, ""name"": ""Adham Makhadmeh"", ""type"": ""REFEREE"", ""nationality"": ""Jordan""}]",REGULAR,,,5,1,1,0,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-27T03:00:00Z
840,Iran,IRN,GROUP_G,825,Egypt,EGY,"[{""id"": 43888, ""name"": ""Szymon Marciniak"", ""type"": ""REFEREE"", ""nationality"": ""Poland""}]",REGULAR,,,1,1,1,1,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-27T03:00:00Z
770,England,ENG,GROUP_L,1836,Panama,PAN,"[{""id"": 236084, ""name"": ""Abdulrahman Al Jassim"", ""type"": ""REFEREE"", ""nationality"": ""Qatar""}]",REGULAR,,,2,0,0,0,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-27T21:00:00Z
763,Ghana,GHA,GROUP_L,799,Croatia,CRO,"[{""id"": 77052, ""name"": ""Drew Fischer"", ""type"": ""REFEREE"", ""nationality"": ""Canada""}]",REGULAR,,,1,2,0,1,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-27T21:00:00Z
765,Portugal,POR,GROUP_K,818,Colombia,COL,"[{""id"": 55970, ""name"": ""Alireza Faghani"", ""type"": ""REFEREE"", ""nationality"": ""Iran""}]",REGULAR,,,0,0,0,0,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-27T23:30:00Z
8070,Uzbekistan,UZB,GROUP_K,1934,Congo DR,COD,"[{""id"": 43878, ""name"": ""Felix Zwayer"", ""type"": ""REFEREE"", ""nationality"": ""Germany""}]",REGULAR,,,1,3,1,0,,,,,HOME_TEAM,GROUP_STAGE,FINISHED,2026-06-27T23:30:00Z
762,Argentina,ARG,GROUP_J,8049,Jordan,JOR,"[{""id"": 37278, ""name"": ""István Kovács"", ""type"": ""REFEREE"", ""nationality"": ""Romania""}]",REGULAR,,,3,1,2,0,,,,,AWAY_TEAM,GROUP_STAGE,FINISHED,2026-06-28T02:00:00Z
816,Austria,AUT,GROUP_J,778,Algeria,ALG,"[{""id"": 236055, ""name"": ""Il'giz Tantashev"", ""type"": ""REFEREE"", ""nationality"": ""Uzbekistan""}]",REGULAR,,,3,3,1,1,,,,,DRAW,GROUP_STAGE,FINISHED,2026-06-28T02:00:00Z
828,Canada,CAN,,774,South Africa,RSA,"[{""id"": 38806, ""name"": ""João Pinheiro"", ""type"": ""REFEREE"", ""nationality"": ""Portugal""}]",REGULAR,,,1,0,0,0,,,,,AWAY_TEAM,LAST_32,FINISHED,2026-06-28T19:00:00Z
766,Japan,JPN,,764,Brazil,BRA,"[{""id"": 11043, ""name"": ""Maurizio Mariani"", ""type"": ""REFEREE"", ""nationality"": ""Italy""}]",REGULAR,,,1,2,1,0,,,,,HOME_TEAM,LAST_32,FINISHED,2026-06-29T17:00:00Z
761,Paraguay,PAR,,759,Germany,GER,"[{""id"": 289426, ""name"": ""Jalal Jayed"", ""type"": ""REFEREE"", ""nationality"": ""Morocco""}]",PENALTY_SHOOTOUT,0,0,5,4,1,0,4,3,1,1,AWAY_TEAM,LAST_32,FINISHED,2026-06-29T20:30:00Z
